artist_name,artist_id,album_id,album_release_date,album_release_year,duration_ms,danceability
The National,2cCUtGK9sDU2EoElnk0GNB,2GXoU6gpOlx1oZ0DkNgrUM,2003-09-02,2003,378040,0.427
The National,2cCUtGK9sDU2EoElnk0GNB,2GXoU6gpOlx1oZ0DkNgrUM,2003-09-02,2003,202746,0.616
The National,2cCUtGK9sDU2EoElnk0GNB,2GXoU6gpOlx1oZ0DkNgrUM,2003-09-02,2003,224360,0.477
The National,2cCUtGK9sDU2EoElnk0GNB,2GXoU6gpOlx1oZ0DkNgrUM,2003-09-02,2003,277320,0.394
The National,2cCUtGK9sDU2EoElnk0GNB,2GXoU6gpOlx1oZ0DkNgrUM,2003-09-02,2003,225666,0.192
The National,2cCUtGK9sDU2EoElnk0GNB,2GXoU6gpOlx1oZ0DkNgrUM,2003-09-02,2003,228320,0.522
The National,2cCUtGK9sDU2EoElnk0GNB,2GXoU6gpOlx1oZ0DkNgrUM,2003-09-02,2003,200026,0.307
The National,2cCUtGK9sDU2EoElnk0GNB,2GXoU6gpOlx1oZ0DkNgrUM,2003-09-02,2003,141613,0.701
The National,2cCUtGK9sDU2EoElnk0GNB,2GXoU6gpOlx1oZ0DkNgrUM,2003-09-02,2003,212906,0.627
The National,2cCUtGK9sDU2EoElnk0GNB,2GXoU6gpOlx1oZ0DkNgrUM,2003-09-02,2003,122666,0.651
The National,2cCUtGK9sDU2EoElnk0GNB,2GXoU6gpOlx1oZ0DkNgrUM,2003-09-02,2003,223826,0.576
The National,2cCUtGK9sDU2EoElnk0GNB,2GXoU6gpOlx1oZ0DkNgrUM,2003-09-02,2003,262160,0.607
The National,2cCUtGK9sDU2EoElnk0GNB,5VndZ1dWP9h0mmUl1Pslq4,2001-07-03,2001,188400,0.564
The National,2cCUtGK9sDU2EoElnk0GNB,5VndZ1dWP9h0mmUl1Pslq4,2001-07-03,2001,246000,0.788
The National,2cCUtGK9sDU2EoElnk0GNB,5VndZ1dWP9h0mmUl1Pslq4,2001-07-03,2001,195200,0.541
The National,2cCUtGK9sDU2EoElnk0GNB,5VndZ1dWP9h0mmUl1Pslq4,2001-07-03,2001,242893,0.642
The National,2cCUtGK9sDU2EoElnk0GNB,5VndZ1dWP9h0mmUl1Pslq4,2001-07-03,2001,319733,0.762
The National,2cCUtGK9sDU2EoElnk0GNB,5VndZ1dWP9h0mmUl1Pslq4,2001-07-03,2001,202640,0.645
The National,2cCUtGK9sDU2EoElnk0GNB,5VndZ1dWP9h0mmUl1Pslq4,2001-07-03,2001,240026,0.725
The National,2cCUtGK9sDU2EoElnk0GNB,5VndZ1dWP9h0mmUl1Pslq4,2001-07-03,2001,184866,0.578
The National,2cCUtGK9sDU2EoElnk0GNB,5VndZ1dWP9h0mmUl1Pslq4,2001-07-03,2001,182440,0.563
The National,2cCUtGK9sDU2EoElnk0GNB,5VndZ1dWP9h0mmUl1Pslq4,2001-07-03,2001,276600,0.459
The National,2cCUtGK9sDU2EoElnk0GNB,5VndZ1dWP9h0mmUl1Pslq4,2001-07-03,2001,170493,0.525
The National,2cCUtGK9sDU2EoElnk0GNB,5VndZ1dWP9h0mmUl1Pslq4,2001-07-03,2001,187266,0.854
